lat_grid,lon_grid,n_days_detected
32.75,3.17,30
32.75,3.18,703
32.75,3.19,120
32.8,3.41,17
32.83,3.24,54
32.84,-6.94,31
32.84,3.23,54
32.84,3.24,378
32.85,-6.94,41
32.85,-6.54,17
32.86,-6.54,17
32.9,3.37,96
32.9,3.38,60
32.91,3.37,155
32.91,3.38,93
32.92,3.17,17
32.93,3.22,264
32.93,3.23,633
32.93,3.24,558
32.93,3.25,298
32.94,3.22,104
32.94,3.23,601
32.94,3.24,377
32.95,3.21,47
32.95,3.22,587
32.95,3.23,786
32.95,3.24,75
32.96,3.22,16
32.96,3.23,25
32.99,-7.15,236
33.0,-2.36,44
33.0,-2.35,22
33.02,3.22,71
33.02,3.23,65
33.03,3.53,19
33.05,-7.54,58
33.05,-7.53,105
33.06,-7.54,54
33.06,-7.53,84
33.06,3.32,17
33.06,3.33,44
33.06,3.34,18
33.07,3.33,377
33.07,3.34,26
33.1,3.49,36
33.11,-8.6,142
33.12,3.31,143
33.12,3.32,659
33.13,-8.61,37
33.13,-8.6,21
33.13,3.31,313
33.13,3.32,777
33.13,3.33,60
33.13,3.34,21
33.13,3.35,34
33.13,3.37,137
33.14,-8.61,85
33.14,-8.6,53
33.14,3.36,35
33.14,3.37,577
33.16,-8.6,25
33.16,-8.59,46
33.17,-8.59,65
33.24,-7.6,32
33.3,9.23,96
33.3,9.24,40
33.31,9.23,18
33.36,8.54,20
33.36,8.55,467
33.37,-7.75,189
33.37,8.54,52
33.37,8.55,541
33.38,8.45,58
33.42,-7.81,16
33.43,8.55,18
33.46,-7.55,42
33.46,-7.54,40
33.47,-7.55,39
33.47,-7.54,58
33.47,-0.35,87
33.47,-0.34,151
33.47,-0.33,81
33.48,-7.56,18
33.48,-7.55,54
33.48,-7.54,72
33.48,-0.35,81
33.48,-0.34,157
33.48,11.11,116
33.49,-7.54,33
33.5,-7.47,71
33.53,9.68,508
33.53,9.69,309
33.55,-7.54,32
33.55,-7.53,68
33.55,-7.52,134
33.56,-7.52,42
33.56,-7.51,22
33.57,-7.52,94
33.57,-7.51,21
33.57,-7.5,23
33.57,-7.49,24
33.59,-7.51,17
33.63,-7.44,93
33.63,-7.43,27
33.64,-7.44,103
33.64,-7.43,31
33.66,-5.46,25
33.67,-5.46,40
33.67,8.95,17
33.82,-7.01,24
33.85,-4.86,42
33.86,-6.34,28
33.87,-6.34,37
33.87,2.66,156
33.87,9.99,405
33.88,-5.48,21
33.88,2.66,46
33.88,2.67,47
33.88,9.99,32
33.89,-6.95,229
33.91,-5.5,82
33.91,-5.49,26
33.92,10.04,44
33.92,10.07,22
33.93,10.08,72
33.94,-5.12,54
33.95,-5.12,127
33.98,10.01,19
34.0,-5.07,16
34.01,-5.06,19
34.07,-4.99,20
34.26,-5.99,30
34.28,-6.58,62
34.28,-6.57,233
34.29,11.4,19
34.3,11.4,30
34.31,8.43,26
34.38,8.61,16
34.38,8.8,19
34.39,5.11,22
34.43,2.06,20
34.43,8.73,19
34.44,2.05,16
34.44,2.06,438
34.44,5.88,37
34.44,5.89,278
34.5,6.98,177
34.53,0.8,18
34.53,0.81,17
34.57,7.24,379
34.59,-6.0,28
34.59,-5.9,16
34.59,-2.35,122
34.6,-2.35,272
34.6,-2.34,23
34.6,10.58,114
34.6,10.59,138
34.61,10.59,20
34.63,7.31,58
34.69,10.64,25
34.71,10.73,21
34.74,10.63,18
34.74,10.64,20
34.75,2.0,23
34.75,5.27,22
34.78,5.4,20
34.79,5.4,17
34.79,5.41,31
34.8,0.33,335
34.82,10.71,21
34.9,8.54,31
34.91,5.66,21
34.91,5.67,18
34.91,8.54,29
34.93,-2.74,19
34.94,-2.74,22
34.94,8.53,159
34.98,5.71,384
34.98,5.72,689
34.99,5.71,22
35.0,-5.97,175
35.02,-5.03,25
35.02,-2.83,21
35.08,-0.66,16
35.09,5.64,43
35.09,5.65,313
35.1,5.64,53
35.1,5.65,406
35.14,-2.96,26
35.14,-2.92,16
35.21,1.38,18
35.23,8.17,491
35.31,-1.35,151
35.31,-1.34,309
35.34,1.35,99
35.34,1.36,229
35.34,5.76,36
35.35,5.75,42
35.35,5.76,790
35.35,5.77,50
35.36,5.4,20
35.4,8.17,21
35.44,7.13,43
35.45,4.95,16
35.45,4.96,25
35.45,4.97,30
35.46,-0.4,336
35.46,-0.39,212
35.48,-0.62,20
35.49,11.01,40
35.51,-0.6,20
35.51,-0.59,93
35.53,-0.28,381
35.53,-0.27,177
35.55,-5.42,16
35.55,6.86,17
35.55,6.87,370
35.56,-0.94,100
35.57,-0.94,597
35.57,5.18,26
35.6,-5.44,18
35.6,-5.43,181
35.63,10.88,18
35.64,-0.65,29
35.64,-0.48,26
35.64,5.99,36
35.67,-0.36,18
35.68,-0.63,28
35.68,-0.45,20
35.71,4.47,141
35.71,4.48,486
35.74,-5.77,22
35.74,-5.76,60
35.74,-5.75,26
35.75,-5.76,25
35.75,-0.25,29
35.76,-0.37,17
35.76,-0.36,24
35.76,-0.27,204
35.76,-0.26,131
35.76,-0.25,27
35.76,4.51,19
35.76,7.36,17
35.77,-0.27,304
35.77,-0.26,319
35.77,-0.25,56
35.77,-0.22,22
35.77,-0.01,21
35.77,7.36,215
35.77,9.89,155
35.78,-0.26,37
35.78,0.54,259
35.78,9.89,229
35.79,0.54,19
35.79,5.53,16
35.8,-0.35,19
35.8,-0.34,45
35.8,-0.26,72
35.8,-0.25,157
35.8,-0.24,306
35.8,-0.23,38
35.8,-0.22,90
35.8,-0.21,159
35.8,-0.2,28
35.8,-0.19,121
35.8,-0.18,449
35.81,-0.35,111
35.81,-0.34,199
35.81,-0.28,155
35.81,-0.27,613
35.81,-0.26,624
35.81,-0.25,571
35.81,-0.24,457
35.81,-0.23,200
35.81,0.77,25
35.82,-0.33,220
35.82,-0.32,182
35.82,-0.29,38
35.82,-0.28,113
35.82,-0.27,444
35.82,-0.26,19
35.83,-0.33,105
35.83,-0.32,24
35.83,-0.31,156
35.83,-0.3,113
35.83,-0.29,24
35.84,6.86,20
35.85,8.59,99
35.87,6.02,186
35.87,6.03,377
35.88,4.44,161
35.88,4.45,679
35.96,0.43,20
35.96,4.99,20
35.96,5.0,49
35.97,4.99,30
35.97,5.0,62
36.02,0.12,43
36.02,0.13,108
36.02,5.31,18
36.03,5.91,31
36.05,5.87,63
36.06,5.87,59
36.08,6.8,67
36.08,6.81,35
36.09,4.84,29
36.09,4.86,18
36.09,6.8,324
36.09,6.81,217
36.11,6.42,21
36.12,1.24,94
36.12,5.52,24
36.13,1.24,692
36.13,1.25,22
36.13,5.52,50
36.14,1.19,92
36.14,1.2,56
36.14,2.93,479
36.16,10.28,92
36.16,10.29,43
36.18,-5.43,71
36.18,-5.42,135
36.18,-5.4,119
36.18,3.74,89
36.18,3.75,572
36.18,5.57,541
36.19,-5.41,30
36.19,-5.4,57
36.19,5.63,52
36.19,5.64,92
36.2,5.63,33
36.2,5.64,38
36.24,5.48,39
36.24,6.51,28
36.25,2.16,16
36.25,2.17,22
36.29,6.51,270
36.29,6.52,19
36.3,6.86,22
36.33,5.48,536
36.33,5.49,35
36.34,-5.85,19
36.34,-5.84,27
36.34,5.48,177
36.34,5.49,22
36.39,2.37,18
36.43,6.62,592
36.43,6.63,47
36.44,6.58,26
36.44,6.62,18
36.45,2.98,16
36.45,6.69,70
36.46,10.05,37
36.46,10.06,25
36.47,2.75,94
36.48,2.75,42
36.49,4.59,25
36.5,10.02,47
36.5,10.03,266
36.51,2.87,40
36.53,3.25,17
36.53,10.82,105
36.53,10.83,56
36.54,3.06,28
36.54,3.16,24
36.56,5.44,16
36.56,5.46,18
36.56,5.47,16
36.57,3.67,18
36.57,5.26,22
36.57,5.41,16
36.57,5.46,17
36.57,5.48,16
36.58,5.47,17
36.59,2.88,97
36.59,5.48,16
36.59,10.32,357
36.6,2.87,35
36.6,2.88,640
36.6,3.13,47
36.6,3.14,339
36.61,3.19,16
36.61,10.44,19
36.62,-6.08,19
36.62,-6.07,18
36.62,5.47,18
36.62,10.2,19
36.63,3.23,501
36.63,3.27,40
36.64,5.07,16
36.65,3.07,24
36.66,3.06,46
36.66,3.07,124
36.67,2.76,16
36.67,3.06,34
36.67,3.07,31
36.67,3.12,25
36.67,6.33,19
36.68,3.01,36
36.68,3.12,441
36.68,3.13,198
36.68,6.32,18
36.68,9.92,449
36.69,3.09,20
36.7,2.94,47
36.71,-4.33,110
36.71,4.8,17
36.72,-4.33,63
36.73,3.31,24
36.73,3.93,28
36.73,6.25,224
36.73,6.26,28
36.73,10.1,21
36.73,10.11,27
36.74,3.31,27
36.74,6.25,455
36.74,6.26,349
36.75,3.08,564
36.75,6.25,729
36.75,6.26,808
36.76,3.33,33
36.76,7.3,45
36.76,7.31,574
36.77,6.0,17
36.77,7.31,18
36.77,10.2,17
36.78,7.67,32
36.78,10.2,206
36.79,5.01,30
36.79,7.68,119
36.79,7.69,244
36.79,7.7,430
36.79,7.71,88
36.8,7.7,30
36.8,7.71,58
36.8,10.28,194
36.8,10.29,87
36.81,3.01,16
36.81,6.01,16
36.86,3.74,17
36.86,6.95,149
36.86,6.96,206
36.86,6.98,18
36.86,6.99,22
36.87,6.94,62
36.87,6.95,168
36.87,6.96,111
36.87,6.97,110
36.87,6.98,650
36.87,6.99,309
36.87,7.76,21
36.87,7.77,19
36.87,11.07,22
36.88,6.93,55
36.88,6.94,447
36.88,6.95,341
36.88,6.96,408
36.89,-2.36,16
36.91,6.66,16
36.93,-2.48,55
36.94,-2.48,22
36.96,-1.91,47
36.96,-1.9,39
36.97,-1.91,208
36.97,-1.9,246
37.04,-3.87,16
37.1,-2.21,16
