lat_grid,lon_grid,n_days_detected
28.66,8.95,26
28.66,9.27,27
28.66,9.84,32
28.67,8.94,16
28.67,9.38,19
28.67,9.84,40
28.67,9.85,18
28.68,7.19,585
28.68,7.2,433
28.68,8.94,22
28.68,8.95,59
28.68,9.84,53
28.69,7.19,388
28.69,7.2,285
28.69,8.95,49
28.69,9.0,61
28.69,9.26,124
28.7,8.93,47
28.7,8.94,723
28.7,8.95,39
28.7,8.96,16
28.7,9.04,18
28.7,9.26,34
28.71,8.93,31
28.71,8.94,170
28.71,8.95,395
28.71,8.96,54
28.71,9.03,469
28.71,9.04,603
28.71,9.09,25
28.71,9.1,28
28.71,9.16,19
28.71,9.9,18
28.72,7.52,409
28.72,8.94,32
28.72,8.95,197
28.72,8.96,75
28.72,9.0,18
28.72,9.03,45
28.72,9.09,20
28.72,9.1,19
28.72,9.16,34
28.72,9.24,27
28.73,7.52,22
28.73,8.92,37
28.73,8.95,48
28.73,9.15,484
28.73,9.16,52
28.73,9.24,58
28.73,9.78,33
28.73,9.79,368
28.73,9.8,16
28.74,8.99,19
28.74,9.0,20
28.74,9.02,20
28.74,9.14,22
28.74,9.15,245
28.74,9.16,21
28.74,9.27,36
28.74,9.28,71
28.74,9.78,106
28.74,9.79,673
28.74,9.8,28
28.75,8.96,31
28.75,8.97,57
28.75,9.01,21
28.75,9.12,27
28.75,9.25,21
28.75,9.26,75
28.75,9.27,52
28.75,9.29,82
28.76,8.92,153
28.76,9.01,31
28.76,9.12,44
28.76,9.25,17
28.76,9.26,38
28.76,9.27,26
28.77,8.89,33
28.77,8.9,52
28.77,8.92,57
28.77,8.94,22
28.77,9.01,17
28.77,9.12,17
28.77,9.25,95
28.77,9.26,112
28.78,8.89,64
28.78,8.93,62
28.78,8.94,23
28.78,9.25,26
28.78,9.26,16
28.8,8.9,31
28.8,9.21,25
28.81,8.86,21
28.82,8.85,16
28.82,9.9,24
28.82,9.91,415
28.84,8.83,40
28.84,9.9,73
28.84,9.91,52
28.85,8.83,19
28.85,9.9,20
28.85,9.91,61
28.85,9.92,304
28.86,9.91,41
28.86,9.92,270
28.86,9.93,48
28.86,9.94,373
28.87,9.04,51
28.87,9.92,184
28.87,9.93,162
28.87,9.94,923
28.87,9.95,71
28.88,9.93,20
28.88,9.94,167
28.88,9.95,366
28.89,9.95,254
28.89,9.96,36
28.89,9.97,730
28.89,10.01,19
28.89,10.02,359
28.89,10.03,98
28.9,8.8,38
28.9,9.97,35
28.9,10.02,89
28.9,10.03,40
28.91,8.8,32
28.91,9.13,23
28.91,9.14,50
28.91,9.74,306
28.91,9.75,724
28.92,9.04,37
28.92,9.13,27
28.92,9.14,48
28.92,9.73,16
28.92,9.74,494
28.92,9.75,708
28.92,9.76,28
28.92,9.98,490
28.92,9.99,23
28.93,9.04,28
28.93,9.74,59
28.93,9.75,47
28.93,9.76,21
28.93,10.01,205
28.93,10.02,194
28.93,10.03,43
28.94,10.01,454
28.94,10.02,646
28.94,10.03,39
28.95,10.02,126
28.95,10.06,32
28.96,10.04,22
28.96,10.05,148
28.97,10.03,58
28.97,10.04,530
28.97,10.05,23
28.98,10.04,243
29.03,7.5,93
29.03,7.52,486
29.09,2.21,70
29.09,2.22,23
29.1,9.67,42
29.11,9.66,148
29.11,9.67,461
29.11,9.68,22
29.13,9.69,17
29.22,6.46,35
29.23,6.46,26
29.24,6.47,16
29.25,6.48,23
29.26,6.48,29
29.26,6.49,533
29.26,6.5,38
29.27,6.48,61
29.27,6.49,802
29.27,6.5,93
29.43,6.44,41
29.44,6.44,18
29.47,6.62,27
29.67,6.72,385
29.67,6.73,288
29.68,6.7,117
29.69,6.69,102
29.69,6.7,807
29.69,6.71,367
29.7,6.69,51
29.7,6.7,658
29.7,6.71,805
29.7,6.72,272
29.7,6.76,18
29.7,6.77,35
29.71,6.7,16
29.71,6.71,28
29.74,6.79,27
29.75,6.79,19
29.82,0.57,18
29.86,6.92,21
29.86,6.93,22
29.94,6.85,22
29.94,6.86,21
29.95,6.85,66
29.95,6.86,45
30.0,7.91,30
30.07,7.72,28
30.1,6.89,18
30.11,6.92,17
30.15,7.64,17
30.18,7.68,69
30.18,7.69,680
30.18,7.7,22
30.19,6.68,20
30.19,7.68,18
30.19,7.69,87
30.2,7.62,22
30.22,7.8,243
30.22,7.81,35
30.23,7.1,27
30.25,8.07,25
30.25,8.08,641
30.25,8.09,486
30.26,8.07,21
30.26,8.08,222
30.26,8.09,200
30.32,7.74,23
30.36,7.76,19
30.37,7.01,132
30.38,7.01,173
30.39,7.9,218
30.39,7.91,489
30.39,7.97,16
30.4,6.54,408
30.4,6.55,71
30.41,6.53,59
30.41,6.54,255
30.41,6.55,101
30.47,6.47,127
30.47,6.48,72
30.47,7.02,813
30.47,7.03,848
30.48,6.47,137
30.48,6.48,83
30.48,7.02,123
30.48,7.03,52
30.61,8.26,471
30.61,8.27,103
30.62,8.26,50
30.64,7.0,16
30.65,8.09,81
30.65,8.1,180
30.65,8.11,36
30.66,8.09,206
30.66,8.1,882
30.66,8.11,174
30.67,8.1,211
30.67,8.11,21
30.72,7.96,16
30.72,8.1,37
30.76,5.45,292
30.76,5.46,100
30.77,5.45,17
30.78,5.51,262
30.79,0.74,17
30.79,5.51,154
30.8,0.74,21
30.82,8.03,367
30.83,6.56,456
30.83,8.02,21
30.83,8.03,233
30.84,6.55,71
30.84,6.56,930
30.87,-6.89,42
30.87,5.64,441
30.87,5.65,156
30.88,5.63,69
30.88,5.64,885
30.88,5.65,408
30.89,5.58,302
30.89,5.59,273
30.89,5.63,137
30.89,5.64,29
30.9,5.58,1235
30.9,5.59,1033
30.91,1.9,214
30.93,8.38,24
30.94,8.39,22
30.94,8.44,87
30.97,5.75,237
30.97,5.76,320
30.97,5.77,50
30.98,5.75,23
30.98,5.76,250
30.98,5.77,39
30.98,8.41,34
30.98,8.42,99
30.99,8.42,67
30.99,8.43,86
31.0,6.64,16
31.0,8.01,55
31.0,8.02,383
31.0,10.06,402
31.01,8.15,43
31.01,8.16,544
31.01,8.17,670
31.01,8.18,86
31.01,8.4,21
31.01,8.45,71
31.01,10.06,146
31.02,8.15,47
31.02,8.16,358
31.02,8.17,119
31.02,8.18,16
31.02,8.45,60
31.02,8.46,124
31.02,8.51,57
31.03,8.08,29
31.03,8.46,20
31.04,8.29,79
31.04,8.49,29
31.05,8.03,599
31.05,8.04,476
31.05,8.29,20
31.05,8.5,20
31.05,8.51,29
31.06,-6.87,22
31.06,8.01,360
31.06,8.02,370
31.06,8.03,677
31.06,8.04,666
31.06,8.5,28
31.06,8.51,58
31.07,8.52,24
31.08,8.36,135
31.08,8.37,20
31.08,8.53,37
31.08,8.56,259
31.09,9.39,19
31.1,8.02,54
31.1,8.66,35
31.1,8.68,23
31.11,8.16,18
31.11,8.59,115
31.11,8.66,60
31.12,8.16,23
31.12,8.59,27
31.12,8.6,44
31.13,8.44,60
31.13,8.59,17
31.13,8.6,59
31.14,8.15,16
31.14,8.44,31
31.14,8.59,16
31.15,5.96,18
31.15,8.14,21
31.15,11.63,117
31.15,11.64,135
31.16,5.87,17
31.16,5.96,43
31.16,5.97,31
31.16,11.63,32
31.17,5.87,37
31.17,5.97,49
31.17,8.1,22
31.17,8.11,25
31.18,5.97,52
31.18,5.98,24
31.18,6.78,50
31.18,6.79,175
31.18,6.8,44
31.18,8.1,277
31.18,8.11,241
31.18,11.61,179
31.18,11.62,26
31.19,5.97,22
31.19,6.78,491
31.19,6.79,1008
31.19,6.8,51
31.19,6.81,41
31.19,8.63,18
31.19,8.64,79
31.2,5.66,24
31.2,6.8,17
31.21,5.93,23
31.22,8.16,33
31.22,8.56,53
31.22,8.57,20
31.23,8.18,72
31.23,8.51,62
31.23,8.53,18
31.23,8.55,31
31.23,8.56,330
31.23,8.57,161
31.24,8.5,41
31.24,8.51,28
31.24,8.55,20
31.24,8.56,110
31.24,8.57,115
31.24,11.81,116
31.24,11.82,70
31.25,8.66,150
31.25,8.67,136
31.27,8.29,23
31.28,8.29,43
31.29,8.36,56
31.29,8.39,50
31.29,8.4,550
31.3,8.63,17
31.3,8.64,16
