wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2017-05-28,1,2.75,2.75,1
1,01,2017-05-29,2,8.1,4.05,1
1,01,2017-06-01,1,1.29,1.29,1
1,01,2017-06-05,1,3.26,3.26,1
1,01,2017-06-07,1,0.85,0.85,1
1,01,2017-06-12,2,2.96,1.64,1
1,01,2017-06-14,2,222.27,221.02,1
1,01,2017-06-15,1,1.07,1.07,1
1,01,2017-06-22,2,3.0300000000000002,1.6,1
1,01,2017-06-25,1,18.53,18.53,1
1,01,2017-06-30,1,4.09,4.09,1
1,01,2017-07-02,2,3.17,1.87,1
1,01,2017-07-03,5,13.07,3.55,1
1,01,2017-07-15,1,3.8,3.8,1
1,01,2017-07-21,1,1.78,1.78,1
1,01,2017-07-22,1,1.56,1.56,1
1,01,2017-07-23,2,2.24,1.31,1
1,01,2017-07-24,6,22.07,8.37,1
1,01,2017-07-26,4,2.56,0.93,1
1,01,2017-08-04,4,15.73,6.17,1
1,01,2017-08-05,2,8.19,5.3,1
1,01,2017-08-13,1,20.47,20.47,1
1,01,2017-08-24,1,2.83,2.83,1
1,01,2017-08-25,6,28.67,8.47,1
1,01,2017-08-26,3,11.59,4.13,1
1,01,2017-08-29,3,13.629999999999999,6.75,1
1,01,2017-08-30,6,23.12,4.74,1
1,01,2017-09-14,1,1.15,1.15,1
1,01,2017-09-15,4,6.550000000000001,4.24,1
1,01,2017-09-24,1,0.38,0.38,1
1,01,2017-09-25,2,1.31,0.66,1
1,01,2017-09-29,1,1.61,1.61,1
1,01,2017-10-04,1,3.51,3.51,1
1,01,2017-10-07,6,17.38,4.12,1
1,01,2017-10-10,1,2.73,2.73,1
1,01,2017-10-12,7,14.71,3.21,1
1,01,2017-10-14,3,9.59,4.78,1
1,01,2017-10-17,3,12.02,5.14,1
1,01,2017-10-18,1,0.51,0.51,1
1,01,2017-10-21,1,3.42,3.42,1
1,01,2017-10-24,1,0.52,0.52,1
1,01,2017-10-26,1,1.09,1.09,1
1,01,2017-10-28,3,9.48,4.54,1
1,01,2017-10-29,6,32.599999999999994,10.28,1
1,01,2017-11-02,4,8.67,3.81,1
1,01,2017-11-08,1,2.44,2.44,1
1,01,2017-11-09,1,4.0,4.0,1
1,01,2017-11-10,2,2.9299999999999997,1.68,1
1,01,2017-11-13,3,8.41,3.12,1
1,01,2017-11-19,1,1.09,1.09,1
1,01,2017-11-24,1,2.72,2.72,1
1,01,2017-11-27,1,1.97,1.97,1
1,01,2017-12-02,1,2.34,2.34,1
1,01,2017-12-06,4,41.03,20.42,1
1,01,2017-12-10,4,9.879999999999999,3.4,1
1,01,2017-12-18,1,4.66,4.66,1
1,01,2017-12-19,2,13.350000000000001,6.94,1
1,01,2017-12-20,4,17.2,4.87,1
1,01,2017-12-22,1,8.99,8.99,1
1,01,2017-12-23,3,19.34,11.64,1
1,01,2017-12-28,2,9.940000000000001,5.4,1
1,01,2018-01-02,2,1.63,1.16,1
1,01,2018-01-03,1,1.85,1.85,1
1,01,2018-01-10,1,10.55,10.55,1
1,01,2018-01-14,1,0.92,0.92,1
1,01,2018-01-15,1,0.9,0.9,1
1,01,2018-02-12,1,0.78,0.78,1
